node_id,country,current_institution,current_city,current_status,current_count,current_count_basis,current_proof_type,current_proof_url,current_proof_date,historical_seed,historical_count_or_acquisition,baseline_2017_match,baseline_match_basis,deep_module_status,notes
DE-LEIPZIG-UNIV-ZOOL,DE,Universität Leipzig Zoologische Lehr- und Studiensammlung,Leipzig,CURRENT_CONFIRMED,6,current university collection history explicitly states six Blaschka glass models,current university collection page,https://www.lw.uni-leipzig.de/en/institut-fuer-biologie/abteilungen/molecular-evolution-and-systematic-of-animals/zoological-collection/history-of-the-zoological-collection,2026,Leipzig university zoological teaching collection,late nineteenth/early twentieth-century models; acquisition transaction still open,unresolved,2017 map row-level list not yet reconstructed,none,Separate from any second Leipzig school/gymnasium historical customer; current collection remains used for zoological teaching.
DE-GOTHA-FRIEDENSTEIN,DE,Stiftung Friedenstein / Herzogliches Museum natural-history collection,Gotha,CURRENT_CONFIRMED,7,institutional educational PDF says 28 acquired in 1881/82 and seven survive today,current institutional PDF,https://www.stiftung-friedenstein.de/sites/default/files/downloads/bastelanleitung_qualle.pdf,2026,Naturalienkabinett des Herzoglichen Museums,28 acquired 1881/82 from 'Blaschka in Dresden'; seven surviving,unresolved,2017 map row-level list not yet reconstructed,none,Exceptionally clean acquisition-to-survival node and immediate deep-module candidate.
AT-GRAZ-JOANNEUM,AT,Universalmuseum Joanneum Naturkundemuseum,Graz,CURRENT_CONFIRMED,,current 2024-2026 exhibition explicitly displays Blaschka glass models; current exact survivor count not stated,current official exhibition page,https://www.museum-joanneum.at/en/about-us/press/exhibitions-and-projects/event/treasures-from-the-natural-history-collections,2024-2026,Joanneum natural-history collection,19 glass models of marine invertebrates purchased in 1868 according to old annual reports,unresolved,2017 map row-level list not yet reconstructed,none,Do not project the historical purchase count 19 into a current survivor count without inventory confirmation.
AT-VIENNA-NHMW,AT,Naturhistorisches Museum Wien,Vienna,CURRENT_CONFIRMED,50,NHMW's own 2023 publication states 50 Blaschka exhibition objects are owned by NHMW and current Hall 22 material confirms display,current institutional publication plus current history trail,https://www.nhm-wien.ac.at/jart/prj3/nhm-resp/data/uploads/bildung/Das_Naturhistorische_16_2023-06-29_110603.pdf,2023,NHMW own zoological collection,50 owned by NHMW; Blaschka models displayed in Hall 22,unresolved,2017 map row-level list not yet reconstructed,none,"Keep legally and institutionally distinct from the University of Vienna collection. A secondary/recent collection-science source gives 40; the first-party NHMW 50 remains the census count while the 40 figure is preserved as an unresolved scope/date difference."
AT-VIENNA-UNIV-ZOOL,AT,University of Vienna Zoological Collection,Vienna,CURRENT_CONFIRMED,156,current University collection page states 156 Blaschka glass models,current university collection page,https://zoologicalcollection.univie.ac.at/collection-repository/blaschkas-glass-models/,2026,Zoologisch-vergleichend-anatomisches Institut / Zoological Collection,orders documented by 1884 and 1887; current institutional pages show a count-history of 145/146/156,yes,Corning 2016 explicitly names University of Vienna among current rediscovered/conserved/exhibited collections,none,Count conflict is source-layered: other University pages report 145 or 146. Forty-five models were an NHMW display subset and must never be treated as the University total or as a third collection node.
NL-UTRECHT-UMU,NL,Universiteitsmuseum Utrecht,Utrecht,CURRENT_CONFIRMED,128,current Utrecht University page states the University Museum holds a scientific collection of 128 Blaschka marine-animal models,current university page,https://www.uu.nl/en/organisation/donate/blaschkas-utrecht-pearls-of-glass,2026,Utrecht zoological teaching collection,models commissioned by Utrecht University in 1883,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,An earlier about-80 survival formulation is stale or scope-different against the current institutional 128 count and is not used as the present census value.
UK-NHM-LONDON,UK,Natural History Museum London,London,CURRENT_CONFIRMED,>180,current NHM collection story states more than 180 Blaschka sculptures,current museum collection page,https://www.nhm.ac.uk/discover/colour-in-collection-blaschka-glass-models.html,2026,British Museum Natural History / NHM historical invertebrate-model collections,multiple nineteenth-century acquisition strata,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,Current collection count is collection-level and should not be merged with University College London or other South Kensington transfer recipients.
AU-AUSTRALIAN-MUSEUM,AU,Australian Museum,Sydney,CURRENT_CONFIRMED,nearly 100,the museum's 2020 3D collection page states nearly 100 sea-anemone models; separate museum archive/story pages updated in July 2026 confirm continuing custody,current museum collection page plus 2026 archive confirmation,https://australian.museum/learn/collections/museum-archives-library/blaschka-glass-models/blaschka-3d/,2020 count / 2026 custody,Australian Museum nineteenth-century European teaching-model purchase,models purchased for museum display in nineteenth century; maker attribution archival closure achieved in 2009,yes,Corning 2016 explicitly names Australian Museum among current rediscovered/conserved/exhibited collections,deep backend exists,Do not present the nearly-100 figure as a 2026 recount. It is a dated 2020 count layer paired with fresh 2026 institutional custody confirmation.
US-ANSP-BLASCHKA,US,Academy of Natural Sciences of Drexel University,Philadelphia,CURRENT_CATALOGUE_REVERIFY,"48 [May 2012]",the live institutional finding aid scopes 48 glass models but explicitly states the housed/displayed collection state is as of May 2012,current institutional finding aid with dated collection state,https://archivalcollections.drexel.edu/repositories/3/resources/842,2012 state / live finding aid accessed 2026,Academy of Natural Sciences Blaschka collection,acquired via Ward catalogue/patronage; finding aid preserves original back boards and labels,unresolved,2017 map row-level list not yet reconstructed,none,"The live finding aid remains strong catalogue evidence, but 48 is not treated as a fresh 2026 physical recount. The separate 53-item archival extent is not a model count. Fresh custody/count reverification remains open."
US-CORNELL-BLASCHKA,US,Cornell University,CURRENT_CONFIRMED,about 570,current Cornell digital-collection overview states the physical collection contains about 570 Blaschka models and identifies current curatorial custody,current university digital collection,https://digital.library.cornell.edu/collections/blaschka,2025,Cornell Department of Ecology and Evolutionary Biology,570 purchased as teaching aids in 1885,yes,Corning 2016 explicitly names Cornell as a current collection and gives 570 models,deep backend exists,Do not use the roughly 250 digitised photographs as a physical survivor count; the current physical collection is described separately as about 570.
US-HARVARD-MCZ,US,Harvard University Museum of Comparative Zoology,Cambridge MA,CURRENT_CONFIRMED,approximately 430,current MCZ special-collections page states approximately 430 marine and terrestrial invertebrate models,current university museum collection page,https://www.mcz.harvard.edu/blaschka-glass-invertebrates,2026,Harvard MCZ invertebrate teaching collection,purchased in the 1870s and 1880s; majority acquired through Henry Ward,unresolved,2017 map row-level list not yet reconstructed,deep backend context exists,Approximately 60 are a rotating permanent-display subset at HMNH and must not replace the approximately-430 collection total.
IE-NMI-NATURAL-HISTORY,IE,National Museum of Ireland - Natural History,Dublin,CURRENT_CONFIRMED,>500,current NMI collection page states the Museum holds over 500 pieces; current refurbishment pages continue to identify the Blaschka collection,current national museum collection page,https://www.museum.ie/en-IE/Collections-Research/Natural-History-Collections/Collections-List/Blaschka-Glass,2026,Natural History Museum Dublin,530 historical models acquired in several batches 1878-1888 according to published museum history,pre2017_known,2016 Irish institutional survey establishes surviving NMI collection before the 2017 map; direct 2017 pin/current-status row still to recover,deep backend context exists,Do not merge with University College Dublin or other Irish university collections. Current Merrion Street refurbishment changes display location but not collection identity.
UK-NMS-EDINBURGH,UK,National Museums Scotland / National Museum of Scotland,Edinburgh,CURRENT_CONFIRMED,>=82,current NMS page states 82 Blaschka models are on display in Window on the World,current national museum collection story,https://www.nms.ac.uk/discover-catalogue/the-glass-artists-who-mastered-museum-models-the-blaschkas,2026,Edinburgh Museum of Science and Art,first sea-anemone order 1866; another large order 1868,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,82 is a demonstrated surviving display subset and not automatically the complete current collection total.
UK-DUNDEE-DARCY,UK,University of Dundee D'Arcy Thompson Zoology Museum,Dundee,CURRENT_CONFIRMED,11,current university Blaschka page itemizes eleven surviving glass objects with DUNUC identifiers,current university museum object page,https://app.dundee.ac.uk/museum/collections/zoology/zoology3d/blaschkaglass/index.html,2026,D'Arcy Thompson zoological teaching collection,set acquired in 1888/1889; current official pages differ by one year,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,Preserve 1888 versus 1889 institutional date conflict; eleven is the current itemized Blaschka page count rather than an inferred original order size.
