entry_id,country,institution_current,collection_title_or_search_entry,date_range,subject_scope,stated_count,relationship_phrase,physical_structure,source_url,unit_level,production_period,subject_cluster,commercial_or_institutional,circulation_mode,count_namespace,historical_actor_role,analysis_review,analysis_basis
UK-SMG-EDMUND-WHEELER-HUMAN-12,UK,Science Museum Group,"Box containing 12 microscope slides comprised of human remains",1860-1884,"human remains; anatomy; pathology","12 microscope slides","prepared by; held by","boxed 12-slide set",https://collection.sciencemuseumgroup.org.uk/objects/co8422078/box-containing-12-microscope-slides-comprised-of-human-remains,bounded_set,mid_19c_1840_1869,medical_histology_pathology,institutional_teaching_research,retained_without_explicit_transfer,physical_slide_count,preparer_mounter_producer;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode."
UK-SMG-ARTHUR-COLE-24-1867,UK,Science Museum Group,"Case containing 24 microscope slides comprised of human and animal specimens",1867,"human and animal histology; pathology; anatomy","24 microscope slides","prepared by; held by","case containing 24 slides; child records numbered under 1876-1172",https://collection.sciencemuseumgroup.org.uk/objects/co8422077/case-containing-24-microscope-slides-comprised-of-human-and-animal-specimens,bounded_set,mid_19c_1840_1869,medical_histology_pathology,unclear,retained_without_explicit_transfer,physical_slide_count,preparer_mounter_producer;institutional_custodian_cataloguer,REVIEW,"Derived only from frozen catalogue wording. Low-confidence fields: commercial_or_institutional. Medium-confidence fields: circulation_mode."
US-OHSU-MEDICAL-MUSEUM-94-1880-1900,US,Oregon Health & Science University,"Microscope slides in a case, Medical Museum Collection Box 42","ca. 1880-1900; donated 1976","anatomy; pathology; medical specimens","approximately 94 specimen slides","donated by; held by","wooden chest divided into four sections; each slide labelled",https://digitalcollections.ohsu.edu/record/4487,named_collection,mixed_19c_plus_20c,medical_histology_pathology,institutional_teaching_research,gift_donation_presentation,physical_slide_count,donor_bequeather_depositor;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional."
US-NMAH-BOURGOGNE-SLIDE-SET,US,Smithsonian National Museum of American History,"Microscope Slides, Bourgogne-inscribed set","nineteenth century; Joseph Bourgogne ca. 1810-after 1879","prepared microscope slides; diagnostic medicine; exhibition-awarded mounts","set preserved in two boxes; exact slide count to enumerate from record/images","attributed to; held by","two boxes",https://americanhistory.si.edu/collections/object/nmah_723375,bounded_set,spans_19c_periods,medical_histology_pathology,unclear,retained_without_explicit_transfer,unstated_or_unresolved,institutional_custodian_cataloguer;attributed_or_uncertain,REVIEW,"Derived only from frozen catalogue wording. Low-confidence fields: commercial_or_institutional. Medium-confidence fields: production_period, circulation_mode."
UK-WHIPPLE-PRITCHARD-CASE-1840-1870,UK,"Whipple Museum of the History of Science, University of Cambridge","Case of microscope slides, some by Pritchard","1840-1870; purchased by museum 1978","mostly botanical preparations; commercial and homemade slides","large assortment across three lift-out trays; exact count unstated","attributed to; sold by; held by","brass-bound mahogany box; three lift-out trays; broken slides and slide papers retained",https://collections.whipplemuseum.cam.ac.uk/objects/13828,container_assemblage,spans_19c_periods,botany,commercial_trade,sale_purchase,unstated_or_unresolved,publisher_distributor_seller;institutional_custodian_cataloguer;attributed_or_uncertain,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: production_period, commercial_or_institutional."
UK-WHIPPLE-WHEELER-MARS-1876,UK,"Whipple Museum of the History of Science, University of Cambridge","Microscope slide, microphotograph of two views of Mars","circa 1876; earliest 1870 latest 1876","microphotography; astronomy; commercial slide trade","1 slide","prepared by; sold by; held by","single glass slide with two paper labels",https://collections.whipplemuseum.cam.ac.uk/objects/14938,single_slide,late_19c_1870_1899,microphotography_optical_media,commercial_trade,sale_purchase,physical_slide_count,preparer_mounter_producer;publisher_distributor_seller;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional."
UK-STANDREWS-ARTHUR-COLE-SLIDES,UK,University of St Andrews,"Arthur C. Cole zoological microscope slides","Cole 1821-1900; prize-medal slides from 1867 onward","diatoms; histology; commercial and research mounts","group count to enumerate from child records","prepared by; purchased by; held by","slides retained within Bell-Pettigrew hierarchy; set/number labels common",https://collections.st-andrews.ac.uk/collections/collection/arthur-c-cole-zoological-microscope-slides/2101750,named_collection,spans_19c_periods,diatoms_phycology,hybrid,sale_purchase,unstated_or_unresolved,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, production_period, circulation_mode, count_namespace."
UK-STANDREWS-FREDERIC-ENOCK-SLIDES,UK,University of St Andrews,"Frederic Enock zoological microscope slides","mounting career began 1870; own business from 1878","whole insects; Mymaridae; commercial preparations","group count to enumerate from child records","prepared by; purchased by; held by","slides left in situ scattered among original slide sleeves",https://collections.st-andrews.ac.uk/collections/collection/frederic-enock-zoological-microscope-slides/2101748,named_collection,late_19c_1870_1899,entomology_arthropods,hybrid,sale_purchase,unstated_or_unresolved,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, circulation_mode, count_namespace."
UK-STANDREWS-JT-NORMAN-SLIDES,UK,University of St Andrews,"John Thomas Norman zoological microscope slides","business opened 1846; prize medal 1862; catalogue 1872; Norman died 1893","commercial prepared slides across diverse subjects","group count to enumerate; 1872 catalogue offered 2,584 mounts","prepared by; purchased by; held by","slides in box AST1029.25; derived from 15-drawer cabinet used by successive generations",https://collections.st-andrews.ac.uk/collections/collection/john-thomas-norman-zoological-microscope-slides/2101749,named_collection,spans_19c_periods,general_mixed_microscopy,hybrid,sale_purchase,unstated_or_unresolved,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, production_period, subject_cluster, circulation_mode, count_namespace."
UK-STANDREWS-CHARLES-COLLINS-SLIDES,UK,University of St Andrews,"Charles Collins zoological microscope slides","Collins 1851-1932; fish skin/scales slides dated 1884","commercial slides; fish skin and scales; reseller-labelled mounts","group count to enumerate; fish skin and scales set dated 1884","prepared by; purchased by; held by","slides retained within Bell-Pettigrew hierarchy",https://collections.st-andrews.ac.uk/collections/collection/charles-collins-zoological-microscope-slides/2101751,named_collection,late_19c_1870_1899,zoology_invertebrates,hybrid,sale_purchase,unstated_or_unresolved,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, circulation_mode, count_namespace."
