node_id,country,current_institution,current_city,current_status,current_count,current_count_basis,current_proof_type,current_proof_url,current_proof_date,historical_seed,historical_count_or_acquisition,baseline_2017_match,baseline_match_basis,deep_module_status,notes
DE-LEIPZIG-UNIV-ZOOL,DE,Universität Leipzig Zoologische Lehr- und Studiensammlung,Leipzig,CURRENT_CONFIRMED,6,current university collection history explicitly states six Blaschka glass models,current university collection page,https://www.lw.uni-leipzig.de/en/institut-fuer-biologie/abteilungen/molecular-evolution-and-systematic-of-animals/zoological-collection/history-of-the-zoological-collection,2026,Leipzig university zoological teaching collection,late nineteenth/early twentieth-century models; acquisition transaction still open,unresolved,2017 map row-level list not yet reconstructed,none,Separate from any second Leipzig school/gymnasium historical customer; current collection remains used for zoological teaching.
DE-GOTHA-FRIEDENSTEIN,DE,Stiftung Friedenstein / Herzogliches Museum natural-history collection,Gotha,CURRENT_CONFIRMED,7,institutional educational PDF says 28 acquired in 1881/82 and seven survive today,current institutional PDF,https://www.stiftung-friedenstein.de/sites/default/files/downloads/bastelanleitung_qualle.pdf,2026,Naturalienkabinett des Herzoglichen Museums,28 acquired 1881/82 from 'Blaschka in Dresden'; seven surviving,unresolved,2017 map row-level list not yet reconstructed,none,Exceptionally clean acquisition-to-survival node and immediate deep-module candidate.
AT-GRAZ-JOANNEUM,AT,Universalmuseum Joanneum Naturkundemuseum,Graz,CURRENT_CONFIRMED,,current 2024-2026 exhibition explicitly displays Blaschka glass models; current exact survivor count not stated,current official exhibition page,https://www.museum-joanneum.at/en/about-us/press/exhibitions-and-projects/event/treasures-from-the-natural-history-collections,2024-2026,Joanneum natural-history collection,19 glass models of marine invertebrates purchased in 1868 according to old annual reports,unresolved,2017 map row-level list not yet reconstructed,none,Do not project the historical purchase count 19 into a current survivor count without inventory confirmation.
AT-VIENNA-NHMW,AT,Naturhistorisches Museum Wien,Vienna,CURRENT_CONFIRMED,50,NHMW magazine states 50 Blaschka exhibition objects are owned by NHMW,current institutional publication plus Hall 22 display,https://www.nhm-wien.ac.at/jart/prj3/nhm-resp/data/uploads/bildung/Das_Naturhistorische_16_2023-06-29_110603.pdf,2023,NHMW own zoological collection,50 owned by NHMW; Blaschka models displayed in Hall 22,unresolved,2017 map row-level list not yet reconstructed,none,Keep legally/institutionally distinct from University of Vienna Blaschka collection even though University models are also displayed at NHMW.
AT-VIENNA-UNIV-ZOOL,AT,University of Vienna Zoological Collection,Vienna,CURRENT_CONFIRMED,156,current University collection page states 156 Blaschka glass models,current university collection page,https://zoologicalcollection.univie.ac.at/collection-repository/blaschkas-glass-models/,2026,Zoologisch-vergleichend-anatomisches Institut / Zoological Collection,orders documented by 1884 and 1887; current institutional pages show a count-history of 145/146/156,unresolved,2017 map row-level list not yet reconstructed,none,Count conflict is source-layered: other University pages report 145 or 146. Forty-five models were an NHMW display subset and must never be treated as the University total or as a third collection node.
NL-UTRECHT-UMU,NL,Universiteitsmuseum Utrecht,Utrecht,CURRENT_CONFIRMED,128,current Utrecht University page states the University Museum holds a scientific collection of 128 Blaschka marine-animal models,current university page,https://www.uu.nl/en/organisation/donate/blaschkas-utrecht-pearls-of-glass,2026,Utrecht zoological teaching collection,models commissioned by Utrecht University in 1883,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,An earlier about-80 survival formulation is stale or scope-different against the current institutional 128 count and is not used as the present census value.
UK-NHM-LONDON,UK,Natural History Museum London,London,CURRENT_CONFIRMED,>180,current NHM collection story states more than 180 Blaschka sculptures,current museum collection page,https://www.nhm.ac.uk/discover/colour-in-collection-blaschka-glass-models.html,2026,British Museum Natural History / NHM historical invertebrate-model collections,multiple nineteenth-century acquisition strata,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,Current collection count is collection-level and should not be merged with University College London or other South Kensington transfer recipients.
AU-AUSTRALIAN-MUSEUM,AU,Australian Museum,Sydney,CURRENT_CONFIRMED,nearly 100,current Australian Museum 3D collection page states nearly 100 sea-anemone models,current museum collection page,https://australian.museum/learn/collections/museum-archives-library/blaschka-glass-models/blaschka-3d/,2026,Australian Museum nineteenth-century European teaching-model purchase,models purchased for museum display in nineteenth century; maker attribution archival closure achieved in 2009,unresolved,2017 map row-level list not yet reconstructed,deep backend exists,Current archive page updated in 2026 confirms continued custody; do not confuse current nearly-100 statement with an exact historic order count.
US-ANSP-BLASCHKA,US,Academy of Natural Sciences of Drexel University,Philadelphia,CURRENT_CONFIRMED,48,current ArchivesSpace collection scope states 48 glass models,current institutional finding aid,https://archivalcollections.drexel.edu/repositories/3/resources/842,2026,Academy of Natural Sciences Blaschka collection,acquired via Ward catalogue/patronage; finding aid preserves original back boards and labels,unresolved,2017 map row-level list not yet reconstructed,none,Finding aid also contains legacy 45-model wording for a cephalopod subset; use 48 as current whole collection scope and preserve 53-item archival extent separately.
US-CORNELL-BLASCHKA,US,Cornell University,CURRENT_CONFIRMED,,current Cornell digital collection reviewed 2025 and 2026 institutional/public display evidence confirms continuing physical collection,current university digital collection,https://digital.library.cornell.edu/collections/blaschka,2025-2026,Cornell Department of Ecology and Evolutionary Biology,570 purchased as teaching aids in 1885; current exact physical survivor count not asserted here,yes,Corning 2016 explicitly names Cornell as a current collection,deep backend exists,Do not use the digital-photo total as a physical survivor count; current custody has recently shifted during construction.
