record_type,source_date,source_or_node,claim_or_status,evidence_url,reconstruction_use,notes
BASELINE_TOTAL,2016-05-15,Corning Museum of Glass,"174 historical collections; 64 current museums/schools/private collections; 4,747 surviving models; counts known for 57 of 64",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_state,"Corning says current collections range from one model at Derby to 570 at Cornell and explicitly names University of Wisconsin, University of Vienna and Australian Museum as recently rediscovered/conserved/exhibited."
BASELINE_TOTAL,2017,AIC/Corning map research,"179 discrete collections; 68 surviving in museums, schools and individuals",https://resources.culturalheritage.org/osg-postprints/wp-content/uploads/sites/8/2019/12/osg024-019.pdf,baseline_state,"The map is described as the only digital collated list of every known Blaschka invertebrate collection and as expected to grow."
BASELINE_INTERFACE,2016-2017,Blaschkas Around the World,"Legacy map remains online and renders current versus original collection symbols but text extraction does not expose pin-level rows",https://dm.cmog.org/blaschka/blaschka_web.html,technical_blocker,"Need underlying JavaScript/data asset, archived network response, source package, or manual pin export before claiming a complete 68-row baseline."
CALIBRATOR_YES,2016,Derby Museum and Art Gallery,"Corning explicitly states one current surviving model",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_match_yes,"2023 Derby Museums publication independently illustrates a Blaschka sea-anemone model as part of the current Collections of Making."
CALIBRATOR_YES,2016,Cornell University,"Corning explicitly states 570 models owned by Cornell and treats it as a current collection",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_match_yes,"Current 2025-2026 evidence confirms continuing collection despite temporary movement during construction."
CALIBRATOR_YES,2016,University of Wisconsin-Madison,"Corning explicitly names University of Wisconsin among recently rediscovered/conserved/exhibited current collections",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_match_yes,"UWZM currently reports over 50 models."
CALIBRATOR_YES,2016,University of Vienna,"Corning explicitly names University of Vienna among recently rediscovered/conserved/exhibited current collections",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_match_yes,"Current University page reports 156; preserve separate NHMW-owned collection and University display-loan subset."
CALIBRATOR_YES,2016,Australian Museum,"Corning explicitly names Australian Museum among recently rediscovered/conserved/exhibited current collections",https://blog.cmog.org/2016/4747-models-174-collections-25-countries-and-counting,baseline_match_yes,"Current museum pages updated 2026 confirm continued custody."
DELTA_UNRESOLVED,2026,Universität Leipzig Zoological Collection,"six surviving current models; baseline presence unresolved",https://www.lw.uni-leipzig.de/en/institut-fuer-biologie/abteilungen/molecular-evolution-and-systematic-of-animals/zoological-collection/history-of-the-zoological-collection,compare_after_68_recovered,"Do not call post-2017 discovery until row-level map match is known."
DELTA_UNRESOLVED,2026,Stiftung Friedenstein Gotha,"seven survive from 28 acquired 1881/82; baseline presence unresolved",https://www.stiftung-friedenstein.de/sites/default/files/downloads/bastelanleitung_qualle.pdf,compare_after_68_recovered,"Strong current and historical closure but still no claim that it lies outside the 2017 map."
DELTA_UNRESOLVED,2026,Universalmuseum Joanneum Graz,"current 2024-2026 Blaschka display; baseline presence unresolved",https://www.museum-joanneum.at/en/about-us/press/exhibitions-and-projects/event/treasures-from-the-natural-history-collections,compare_after_68_recovered,"Historical 1868 purchase of 19 is not used as current survival count."
DELTA_UNRESOLVED,2026,Museum für Naturkunde Berlin,"current OS001-02 inventory has 40 numbered Blaschka object records; baseline presence unresolved",https://www.museumfuernaturkunde.berlin/sites/default/files/221010_Inventarliste_OS001-02_Blaschka.pdf,compare_after_68_recovered,"Inventory preserves historical ZM numbers, Blaschka catalogue numbers, Reiling numbers, acquisition dates and 1995-1998 transfers into Historical Division."
