node_id,current_institution,historical_institution,city,country,node_type,current_object_proof,current_count,current_count_date,baseline_2017_match,deep_status,deep_module,evidence_grade,next_action,notes
CENSUS-0001,Stiftung Friedenstein Gotha,Naturalienkabinett Gotha,Gotha,Germany,museum,yes,7,current institutional statement recovered 2026,unresolved,census_confirmed,,A,reconstruct 2017 baseline match,"Historical purchase: 28 models in 1881/82 from 'Blaschka in Dresden'. Strong candidate for deep module."
CENSUS-0002,Universalmuseum Joanneum / Naturkundemuseum,Joanneum natural-history collection,Graz,Austria,museum,yes,,2024-2026 exhibition evidence,unresolved,census_confirmed,,A,reconstruct 2017 baseline match,"Historical annual reports record 19 models purchased in 1868; current/recent exhibition confirms survival, exact current count still open."
CENSUS-0003,Universität Leipzig Zoological Collection,University zoological teaching/study collection,Leipzig,Germany,university_collection,yes,6,2025-2026 institutional evidence,unresolved,census_confirmed,,A,reconstruct 2017 baseline match,"Current university evidence explicitly identifies six Blaschka glass models; Clava squamata highlighted in 2025."
CENSUS-0004,Naturhistorisches Museum Wien,NHMW,Vienna,Austria,museum,unresolved,,2026 ownership audit,unresolved,display_venue_needs_ownership_proof,,B,search for an NHMW-owned Blaschka accession set distinct from University of Vienna,"Current NHMW Hall 22 pages explicitly describe the displayed Blaschka models as part of the University of Vienna collection. Earlier working note of 50 NHMW-owned objects is suspended until separate accession/ownership evidence is recovered. Do not count the display venue as a second holder by default."
CENSUS-0005,University of Vienna,University zoological collection,Vienna,Austria,university_collection,yes,156,current Zoological Collection webpage crawled 2026,unresolved,census_confirmed,,A,reconstruct 2017 baseline match and reconcile 145/146/156 historical count layers,"Current University of Vienna Zoological Collection webpage states 156 Blaschka glass models. Earlier university pages reported 145 or 146. Forty-five was an exhibition subset shown at NHMW, not the collection total."
CENSUS-0006,Derby Museum and Art Gallery,Derby Museum and Art Gallery,Derby,United Kingdom,museum,yes,1,Corning 2016 surviving-census evidence,unresolved,census_confirmed,,A,verify current 2026 custody and reconstruct 2017 baseline match,"Corning 2016 used Derby's single model as the small end of surviving collections; likely part of the old baseline but this still requires row-level matching."
CENSUS-0007,Utrecht collection (institution to normalize),Utrecht historical Blaschka node,Utrecht,Netherlands,unresolved,,,unresolved,known_backend_lead,,B,normalize institution and recover current official object proof,"Previously recovered in project research but not yet represented cleanly in the census layer."
CENSUS-0008,University of Wisconsin–Madison,Historical university collection,Madison,United States,unresolved,,,unresolved,known_backend_lead,,B,recover current official holdings statement and baseline match,"Previously recovered in project research; needs explicit census-layer normalization."
CENSUS-0009,Albert Hall Museum / Jaipur historical successor,Jeypore Museum,Jaipur,India,museum,no,,,unresolved,deep_module_exists,06 v3: jeypore_albert_hall_1886_1887_blaschka_collection,A,search 1895 Jeypore Museum handbook and current Jaipur holdings,"1886 correspondence explicitly orders glass models of invertebrates for Jeypore Museum; 1886/1887 workshop account entries independently support the transaction. Current survival still unproved."
CENSUS-0010,University of Warsaw historical teaching collections,Imperial University zoological/zootomical cabinet,Warsaw,Poland,university_collection,unresolved,,,unresolved,historical_lead,,A-,search 1907 zootomical cabinet history and current teaching collection,"1885 catalogue contact with Prof. Ganin plus 1887 Universität Warschaw transaction. Current university collection preserves historical didactic material, but no Blaschka object has yet been identified."
