holder_id,current_institution,city,country,proof_level,known_count,count_scope,source_basis,baseline_2017_match,scan_status,priority_note
HOLD-0001,Cornell University,Ithaca,United States,secure,570,collection total stated by current Cornell overview,06 v3 global network + current Cornell digital collection,unresolved,seed_only,baseline anchor
HOLD-0002,Canterbury Museum,Christchurch,New Zealand,secure,,,06 v3 global network,unresolved,seed_only,verify exact current count and 2017 map wording
HOLD-0003,Tūhura Otago Museum,Dunedin,New Zealand,secure,,,06 v3 global network,unresolved,seed_only,verify exact current count and 2017 map wording
HOLD-0004,Harvard Museum of Comparative Zoology,Cambridge,United States,secure,430,MCZ collection item count stated on current institutional page,06 v3 global network + current MCZ page,unresolved,seed_only,baseline anchor
HOLD-0005,National Museum of Ireland - Natural History,Dublin,Ireland,secure,,,06 v3 Ireland module,unresolved,seed_only,one of six Irish collections
HOLD-0006,University College Dublin,Dublin,Ireland,secure,114,retrieved models in published reconstruction; current total to recheck,06 v3 Ireland module + JHC study,unresolved,seed_only,one of six Irish collections
HOLD-0007,Trinity College Dublin,Dublin,Ireland,secure,,,06 v3 Ireland module,unresolved,seed_only,one of six Irish collections
HOLD-0008,Queen's University Belfast,Belfast,United Kingdom,secure,,,06 v3 Ireland module,unresolved,seed_only,one of six Irish collections
HOLD-0009,University of Galway,Galway,Ireland,secure,,,06 v3 Ireland module,unresolved,seed_only,one of six Irish collections
HOLD-0010,University College Cork,Cork,Ireland,secure,,,06 v3 Ireland module,unresolved,seed_only,one of six Irish collections
HOLD-0011,Australian Museum,Sydney,Australia,secure,,,06 v3 Australian Museum deep module,unresolved,seed_only,current collection and conservation history established
HOLD-0012,Museum für Naturkunde Berlin,Berlin,Germany,secure,40,public inventory rows; multipart components make physical count higher,06 v3 Berlin HU/MfN module,unresolved,seed_only,keep separate from Humboldt University custody
HOLD-0013,Humboldt-Universität zu Berlin - Zoologische Lehrsammlung,Berlin,Germany,secure,9,minimum verified public Blaschka object records,06 v3 Berlin HU/MfN module,unresolved,seed_only,current split custody distinct from MfN
HOLD-0014,Academy of Natural Sciences of Drexel University,Philadelphia,United States,secure,48,glass-model collection count in archival capture,06 v3 ANSP module,unresolved,seed_only,verify current registrar total
HOLD-0015,University of Dundee - D'Arcy Thompson Zoology Museum,Dundee,United Kingdom,secure,11,verified numbered physical records,06 v3 Dundee module,unresolved,seed_only,current digital and 3D proof strong
HOLD-0016,Museo di Storia Naturale dell'Università di Pisa,Pisa,Italy,secure,51,official physical collection count,06 v3 Pisa module,unresolved,seed_only,current display established
HOLD-0017,National Museums Scotland,Edinburgh,United Kingdom,secure,82,current display subset; total current holdings to recheck,06 v3 NMS module,unresolved,seed_only,historical acquisition 257
HOLD-0018,Culture Perth & Kinross / Perth Museum,Perth,United Kingdom,secure,14,documented jellyfish series physical models,06 v3 Perth module,unresolved,seed_only,verify whether additional Blaschka objects exist
HOLD-0019,Museum der Universität Tübingen - Zoologische Sammlung,Tübingen,Germany,secure,32,official collection count and complete-survival statement,06 v3 Tübingen module,unresolved,seed_only,strong baseline candidate
HOLD-0020,Natural History Museum London,London,United Kingdom,secure,180+,current official collection wording,06 v3 NHM London module,unresolved,seed_only,strong baseline anchor
HOLD-0021,Amgueddfa Cymru - National Museum Cardiff,Cardiff,United Kingdom,secure,,,06 v3 Cardiff module,unresolved,seed_only,current object inventory/conservation proof in backend
HOLD-0022,UCL Grant Museum of Zoology,London,United Kingdom,secure,,,06 v3 UCL module + current UCL page,unresolved,seed_only,two acquisition strata
HOLD-0023,National Museum Prague,Prague,Czechia,secure,1+,minimum current surviving anchor; exact total to recheck,06 v3 Prague module,unresolved,seed_only,historical four-model gift
HOLD-0024,Stift Kremsmünster,Kremsmünster,Austria,secure,,,06 v3 Kremsmünster module,unresolved,seed_only,count conflict 263/253/226 requires holder scan
HOLD-0025,Stift Seitenstetten,Seitenstetten,Austria,secure,61,rediscovered teaching collection count,06 v3 Seitenstetten module,unresolved,seed_only,strong current-holder proof
HOLD-0026,Musée Zoologique de Strasbourg,Strasbourg,France,secure,53,last strong survival count in backend; 58/53 conflict retained,06 v3 Strasbourg module,unresolved,seed_only,recheck current renovation/display state
HOLD-0027,Oxford University Museum of Natural History,Oxford,United Kingdom,secure,,,06 v3 Oxford module,unresolved,seed_only,1867 British sea-anemone series
HOLD-0028,Leeds City Museum,Leeds,United Kingdom,secure,27,survivor count encoded in deep module,06 v3 Leeds module,unresolved,seed_only,very early 1865 Frič sale
HOLD-0029,Glasgow Museums,Glasgow,United Kingdom,secure,66,numbered current/recent object layer in backend,06 v3 Glasgow module,unresolved,seed_only,Philip Brookes Mason collection
HOLD-0030,University of Liège Aquarium-Museum,Liège,Belgium,secure,,,06 v3 Liège module,unresolved,seed_only,count layers 77/58/49/37 need normalization
HOLD-0031,Redpath Museum - McGill University,Montreal,Canada,secure,31,collection-level corpus,06 v3 Redpath module,unresolved,seed_only,two acquisition strata probable
HOLD-0032,Milwaukee Public Museum,Milwaukee,United States,secure,,current collection exists; 70 is historical purchase count,06 v3 Milwaukee module,unresolved,seed_only,obtain current object register
HOLD-0033,Field Museum of Natural History,Chicago,United States,secure,,current surviving Blaschka models explicitly tied to Ward 1893 collection,06 v3 Field module,unresolved,seed_only,exact subset count open
HOLD-0034,Muséum d'histoire naturelle de Genève,Geneva,Switzerland,secure,94,last exact published survival count,06 v3 Geneva module,unresolved,seed_only,current rehousing/return plan known
HOLD-0035,University of Rostock - Zoological Collection,Rostock,Germany,secure,9,current/recent surviving count,06 v3 Rostock module,unresolved,seed_only,early Schulze procurement
HOLD-0036,Museums Victoria,Melbourne,Australia,secure,9,current public collection rows and storage count,06 v3 Museums Victoria module,unresolved,seed_only,current endpoint unusually complete
HOLD-0037,Auckland Museum,Auckland,New Zealand,secure_recent,7,last exact published survival count 2019,module 41 Auckland,unresolved,seed_only,refresh 2026 custody/display status
HOLD-0038,Instituto de Biología UNAM,Mexico City,Mexico,secure,,current named Colección de Animales de Cristal Blaschka,module 42 Mexico,unresolved,seed_only,obtain count and identifiers
HOLD-0039,Museo de Historia Natural y Cultura Ambiental,Mexico City,Mexico,secure,2,minimum named current glass-animal anchors linked to Blaschka,module 42 Mexico,unresolved,seed_only,keep separate from UNAM endpoint
HOLD-0040,Fondazione Scienza e Tecnica,Florence,Italy,secure_recent,111,last exact published surviving count 2017,module 43 Florence,unresolved,seed_only,refresh exact 2026 count/display
HOLD-0041,Great North Museum: Hancock,Newcastle upon Tyne,United Kingdom,secure_recent,50+,approximate sea-anemone subset plus other marine invertebrates,module 44 Newcastle,unresolved,seed_only,authoritative register needed
HOLD-0042,World Museum Liverpool,Liverpool,United Kingdom,secure_recent,,plural surviving sea-anemone trove plus catalogue no.93 anchor,module 45 Liverpool,unresolved,seed_only,current exact count open
HOLD-0043,Tufts University Archival Research Center,Medford,United States,secure,22,latest exact institutional count 2025,module 46 Tufts,unresolved,seed_only,resolve 2022 24 vs 2025 22
HOLD-0044,University of Michigan,Ann Arbor,United States,secure_recent,78,approximate collection-scale count 2017,module 47 Michigan,unresolved,seed_only,current location/count after Ruthven move open
HOLD-0045,Nottingham Natural History Museum - Wollaton Hall,Nottingham,United Kingdom,secure,,plural current/recent display plus local INV 2000 anchor,module 48 Nottingham,unresolved,seed_only,complete object register needed
HOLD-0046,Vassar College,Poughkeepsie,United States,secure_recent,,plural institutional collection statement and 2016 object no.229 anchor,module 49 Vassar,unresolved,seed_only,archive likely closes 1887 purchase
HOLD-0047,Stiftung Friedenstein Gotha,Gotha,Germany,secure,7,current institutional statement recovered 2026,68 research pass,unresolved,seed_only,1881/82 purchase of 28
HOLD-0048,Universalmuseum Joanneum - Naturkundemuseum,Graz,Austria,secure,,2024-2026 official exhibition proves surviving models,68 research pass + current Joanneum exhibition,unresolved,seed_only,1868 purchase of 19
HOLD-0049,Universität Leipzig - Zoologische Sammlung,Leipzig,Germany,secure,6,current university evidence 2025-2026,68 research pass,unresolved,seed_only,baseline false-negative in earlier backend
HOLD-0050,University of Vienna - Zoological Collection,Vienna,Austria,secure,156,current collection webpage; older layers 145/146,2026 web audit,unresolved,seed_only,45 was display subset at NHMW not total
HOLD-0051,Derby Museum and Art Gallery,Derby,United Kingdom,secure_recent,1,Corning 2016 surviving-census minimum,Corning 2016,unresolved,seed_only,refresh 2026 custody
HOLD-0052,University of Wisconsin-Madison Zoological Museum,Madison,United States,secure_recent,50,about fifty models still exist in official university collection document,UW Zoological Museum institutional PDF,unresolved,seed_only,Corning explicitly cited rediscovery
HOLD-0053,Universiteitsmuseum Utrecht,Utrecht,Netherlands,needs_fresh_recheck,,physical Blaschka object photographed/documented at University Museum Utrecht in 2014,project prior research + Mocafico documentation,unresolved,seed_only,normalize current institutional custody and refresh 2026 proof
